,classes,X_UMAP,Y_UMAP,Z_UMAP
776,basophil,-0.31073937,5.8983626,9.782126
937,basophil,1.8164577,6.971163,8.60946
3,basophil,-0.5497689,5.0112123,9.814006
442,basophil,0.40045714,6.305636,10.295175
398,basophil,1.2834259,6.273911,7.8969736
137,basophil,0.09651959,6.3237257,10.45096
197,basophil,1.9384508,6.861446,8.083719
310,basophil,0.86301816,6.4443336,8.468242
43,basophil,0.34452897,6.677844,9.2321
1082,basophil,0.65521544,6.420714,9.988809
417,basophil,0.9420593,5.4485073,8.289146
717,basophil,0.700552,5.3838706,8.449725
1072,basophil,2.5631957,6.875317,7.763923
459,basophil,2.6241257,6.8821845,7.6919274
171,basophil,3.2375455,7.557705,8.737306
321,basophil,1.1957085,6.6958733,9.133944
943,basophil,-0.28027502,5.7537327,10.469895
76,basophil,0.33342555,5.0590506,10.047433
741,basophil,1.1526004,6.598951,8.234956
658,basophil,0.6748936,6.268326,8.557483
382,basophil,1.6179559,6.3952546,8.365215
713,basophil,-0.37152568,5.4730186,9.512915
320,basophil,0.42066187,5.157654,9.341044
376,basophil,-0.40522468,5.2298164,9.861679
1009,basophil,2.5669591,6.33997,8.267148
107,basophil,2.6734362,6.7382364,7.9791474
675,basophil,1.21097,6.422144,8.231853
753,basophil,2.6224124,6.982169,7.917156
1050,basophil,0.58237517,6.4038916,10.150454
1136,basophil,2.9995966,6.7600317,8.153628
181,basophil,3.026444,6.017078,8.267923
1189,basophil,-0.31452778,5.6040373,9.8894005
89,basophil,-0.05695538,5.575731,9.870574
451,basophil,0.8814106,6.1580143,8.412039
569,basophil,-0.5584839,5.1189246,9.591748
170,basophil,0.7834079,5.1502366,8.752532
391,basophil,1.0017624,6.625411,10.376888
18,basophil,3.185199,6.017653,8.6806
1217,basophil,0.7151765,6.28572,9.332981
1116,basophil,1.4695764,6.6530404,8.054043
496,basophil,1.3119787,5.304435,9.398497
980,basophil,2.1617637,6.7155194,8.296007
231,basophil,3.4021175,7.1261725,8.771421
313,basophil,3.235533,6.3612776,8.59233
534,basophil,0.76428014,6.6263976,10.369393
1085,basophil,0.18469547,6.517497,9.980843
749,basophil,0.25828353,6.6035004,9.401065
901,basophil,2.8056033,7.327827,7.9095845
1146,basophil,1.9045931,6.8507,8.026494
685,basophil,0.4709367,5.7079034,8.690829
74,basophil,2.8692777,6.130463,8.754138
635,basophil,0.43936148,5.6561637,10.165446
280,basophil,0.9303369,5.6008787,8.353913
349,basophil,-0.44762072,5.2718186,9.742459
718,basophil,2.475436,6.114876,8.3018465
307,basophil,0.66363037,6.5561237,9.053672
401,basophil,1.1879543,6.182764,8.002048
407,basophil,0.2444582,6.3279405,9.026516
146,basophil,2.2836347,7.0615063,7.909109
947,basophil,0.8230715,5.641044,8.48143
42,basophil,-0.5212421,5.079554,10.335613
411,basophil,1.0120573,6.6303587,9.856959
616,basophil,1.5954669,7.0347934,8.27739
1070,basophil,0.67072034,6.740074,9.589022
620,basophil,-0.5679513,5.4481535,10.160428
88,basophil,0.32093444,5.1965585,9.562136
596,basophil,1.319045,7.045879,9.500672
188,basophil,2.8471785,6.505563,8.237094
564,basophil,0.010229847,6.365806,10.301021
