,classes,X_UMAP,Y_UMAP
0,basophil,5.767194,5.36097
1,basophil,10.1087675,7.264493
2,basophil,9.455346,5.5772023
3,basophil,10.16553,7.134853
4,basophil,6.6077113,4.315017
5,basophil,7.0887127,4.418092
6,basophil,8.349677,5.580885
7,basophil,9.1779995,7.1182117
8,basophil,9.027588,6.25004
9,basophil,8.526491,4.7472486
10,basophil,6.099396,3.9359603
11,basophil,7.2182846,5.219516
12,basophil,9.033601,5.806788
13,basophil,9.592385,7.4199433
14,basophil,7.8472347,6.1783404
15,basophil,5.947652,4.5579295
16,basophil,10.146568,6.839004
17,basophil,5.2352276,3.8668406
18,basophil,6.3459835,4.2282066
19,basophil,9.224561,7.352255
20,basophil,9.100649,7.4519258
21,basophil,9.107945,5.339061
22,basophil,9.408638,5.9668207
23,basophil,8.771863,6.4788322
24,basophil,10.292224,7.279598
25,basophil,8.261369,4.7297664
26,basophil,8.217156,4.9862704
27,basophil,8.742537,4.987975
28,basophil,8.87002,5.2035646
29,basophil,8.828205,5.1312056
30,basophil,10.184661,6.8297696
31,basophil,8.759486,6.851455
32,basophil,8.688621,5.9050474
33,basophil,5.606326,3.903798
34,basophil,7.8059654,4.8251667
35,basophil,8.812874,5.598047
36,basophil,7.8322144,5.1437306
37,basophil,6.4321785,4.271184
38,basophil,10.270414,7.13525
39,basophil,5.628715,3.9417331
40,basophil,7.2420726,4.711454
41,basophil,5.9874897,3.9294393
42,basophil,10.267072,7.2324066
43,basophil,9.102259,6.474684
44,basophil,9.044524,6.3066134
45,basophil,9.018533,5.878443
46,basophil,5.907785,5.443011
47,basophil,9.11547,5.5388165
48,basophil,8.346772,4.872615
49,basophil,10.069826,6.974443
50,basophil,7.648654,4.569022
51,basophil,7.7391872,4.6868634
52,basophil,9.381847,6.9436774
53,basophil,9.905462,6.558828
54,basophil,6.244748,4.1385283
55,basophil,8.908898,6.2547116
56,basophil,6.7164044,4.28901
57,basophil,8.2506075,6.421545
58,basophil,5.9520273,4.1042604
59,basophil,10.330149,7.3166
60,basophil,8.451652,5.9107475
61,basophil,5.886717,4.0721865
62,basophil,8.386414,5.4461393
63,basophil,6.390116,4.207666
64,basophil,9.275134,5.5078564
65,basophil,8.44949,5.167404
66,basophil,8.900833,5.6690736
67,basophil,8.233965,5.0678344
68,basophil,6.006837,4.127133
69,basophil,8.276789,6.1212115
70,basophil,8.804931,5.678403
71,basophil,9.249138,7.249082
72,basophil,10.297243,7.1962514
73,basophil,7.3571906,4.673913
74,basophil,8.478158,5.5424256
75,basophil,8.402401,5.484674
76,basophil,8.258449,6.5115314
77,basophil,6.835766,4.9994926
78,basophil,7.3721066,4.723385
79,basophil,8.835402,5.36832
80,basophil,9.081749,7.624168
81,basophil,7.958231,5.146011
82,basophil,8.393526,5.0155683
83,basophil,7.7708197,4.4639
84,basophil,8.7980175,6.9841623
85,basophil,7.144612,4.852185
86,basophil,8.340638,4.73876
87,basophil,9.176006,5.710857
88,basophil,10.106662,7.2189965
89,basophil,10.016088,6.704583
90,basophil,6.8362427,5.3493195
91,basophil,8.453227,5.189611
92,basophil,8.994005,6.382151
93,basophil,9.634279,7.572102
94,basophil,7.9491568,4.8566303
95,basophil,8.930111,6.3835707
96,basophil,7.823022,4.93239
97,basophil,6.0223613,3.8189359
98,basophil,8.228122,5.3357353
99,basophil,5.9445357,3.891444
100,basophil,8.673712,5.153765
101,basophil,8.419415,4.727207
102,basophil,9.874197,6.6730556
103,basophil,9.14196,5.560676
104,basophil,8.987907,6.939796
105,basophil,8.519267,6.9355454
106,basophil,10.158216,7.1868634
107,basophil,6.358208,4.229388
108,basophil,8.422895,5.0382643
109,basophil,10.240081,7.174281
110,basophil,9.153398,5.816408
111,basophil,8.802521,7.081745
112,basophil,9.125934,7.5076423
113,basophil,7.401318,4.79247
114,basophil,8.752702,6.453797
115,basophil,8.292855,4.8822107
116,basophil,8.830001,6.6269026
117,basophil,9.118303,6.486262
118,basophil,9.530387,6.2138577
119,basophil,9.309286,5.47631
120,basophil,8.864588,5.267161
121,basophil,8.163107,5.294545
122,basophil,9.998264,7.1198225
123,basophil,8.804521,5.3939342
124,basophil,6.349134,4.427576
125,basophil,9.366988,5.858003
126,basophil,8.74828,5.4771395
127,basophil,8.253955,5.559406
128,basophil,8.654493,7.092996
129,basophil,0.013362207,5.006016
130,basophil,8.496945,5.374065
131,basophil,9.466568,6.647013
132,basophil,8.558589,5.4053526
133,basophil,9.158236,5.817973
134,basophil,9.383442,5.7508607
135,basophil,8.684316,5.56364
136,basophil,7.140854,4.9084654
137,basophil,8.967719,6.4889035
